filename,raw_answer,parsed_place
seed0000.png,yes,yes
seed0001.png,no,no
seed0002.png,no,no
seed0003.png,yes,yes
seed0004.png,no,no
seed0005.png,yes,yes
seed0006.png,no,no
seed0007.png,yes,yes
seed0008.png,yes,yes
seed0009.png,no,no
seed0010.png,no,no
seed0011.png,yes,yes
seed0012.png,yes,yes
seed0013.png,no,no
seed0014.png,no,no
seed0015.png,yes,yes
seed0016.png,yes,yes
seed0017.png,yes,yes
seed0018.png,no,no
seed0019.png,no,no
seed0020.png,yes,yes
seed0021.png,yes,yes
seed0022.png,yes,yes
seed0023.png,yes,yes
seed0024.png,yes,yes
seed0025.png,no,no
seed0026.png,no,no
seed0027.png,yes,yes
seed0028.png,no,no
seed0029.png,no,no
seed0030.png,yes,yes
seed0031.png,yes,yes
seed0032.png,no,no
seed0033.png,no,no
seed0034.png,yes,yes
seed0035.png,no,no
seed0036.png,no,no
seed0037.png,yes,yes
seed0038.png,yes,yes
seed0039.png,yes,yes
seed0040.png,yes,yes
seed0041.png,no,no
seed0042.png,yes,yes
seed0043.png,no,no
seed0044.png,no,no
seed0045.png,no,no
seed0046.png,yes,yes
seed0047.png,no,no
seed0048.png,yes,yes
seed0049.png,yes,yes
seed0050.png,yes,yes
seed0051.png,yes,yes
seed0052.png,yes,yes
seed0053.png,yes,yes
seed0054.png,yes,yes
seed0055.png,yes,yes
seed0056.png,yes,yes
seed0057.png,no,no
seed0058.png,no,no
seed0059.png,yes,yes
seed0060.png,yes,yes
seed0061.png,yes,yes
seed0062.png,no,no
seed0063.png,yes,yes
seed0064.png,no,no
seed0065.png,yes,yes
seed0066.png,yes,yes
seed0067.png,no,no
seed0068.png,no,no
seed0069.png,no,no
seed0070.png,yes,yes
seed0071.png,no,no
seed0072.png,no,no
seed0073.png,no,no
seed0074.png,no,no
seed0075.png,yes,yes
seed0076.png,no,no
seed0077.png,yes,yes
seed0078.png,no,no
seed0079.png,yes,yes
seed0080.png,no,no
seed0081.png,yes,yes
seed0082.png,no,no
seed0083.png,yes,yes
seed0084.png,no,no
seed0085.png,yes,yes
seed0086.png,no,no
seed0087.png,yes,yes
seed0088.png,no,no
seed0089.png,no,no
seed0090.png,yes,yes
seed0091.png,no,no
seed0092.png,yes,yes
seed0093.png,yes,yes
seed0094.png,no,no
seed0095.png,no,no
seed0096.png,no,no
seed0097.png,yes,yes
seed0098.png,yes,yes
seed0099.png,yes,yes
seed0100.png,yes,yes
seed0101.png,yes,yes
seed0102.png,yes,yes
seed0103.png,yes,yes
seed0104.png,no,no
seed0105.png,yes,yes
seed0106.png,no,no
seed0107.png,yes,yes
seed0108.png,no,no
seed0109.png,yes,yes
seed0110.png,yes,yes
seed0111.png,yes,yes
seed0112.png,no,no
seed0113.png,no,no
seed0114.png,no,no
seed0115.png,no,no
seed0116.png,no,no
seed0117.png,yes,yes
seed0118.png,no,no
seed0119.png,yes,yes
seed0120.png,no,no
seed0121.png,no,no
seed0122.png,no,no
seed0123.png,no,no
seed0124.png,yes,yes
seed0125.png,yes,yes
seed0126.png,yes,yes
seed0127.png,yes,yes
seed0128.png,yes,yes
seed0129.png,no,no
seed0130.png,yes,yes
seed0131.png,no,no
seed0132.png,yes,yes
seed0133.png,no,no
seed0134.png,no,no
seed0135.png,no,no
seed0136.png,no,no
seed0137.png,yes,yes
seed0138.png,yes,yes
seed0139.png,no,no
seed0140.png,no,no
seed0141.png,no,no
seed0142.png,yes,yes
seed0143.png,yes,yes
seed0144.png,yes,yes
seed0145.png,yes,yes
seed0146.png,no,no
seed0147.png,no,no
seed0148.png,yes,yes
seed0149.png,yes,yes
seed0150.png,yes,yes
seed0151.png,no,no
seed0152.png,no,no
seed0153.png,yes,yes
seed0154.png,no,no
seed0155.png,yes,yes
seed0156.png,yes,yes
seed0157.png,yes,yes
seed0158.png,no,no
seed0159.png,yes,yes
seed0160.png,no,no
seed0161.png,yes,yes
seed0162.png,no,no
seed0163.png,no,no
seed0164.png,no,no
seed0165.png,no,no
seed0166.png,no,no
seed0167.png,yes,yes
seed0168.png,no,no
seed0169.png,yes,yes
seed0170.png,yes,yes
seed0171.png,yes,yes
seed0172.png,no,no
seed0173.png,no,no
seed0174.png,no,no
seed0175.png,no,no
seed0176.png,no,no
seed0177.png,yes,yes
seed0178.png,no,no
seed0179.png,no,no
seed0180.png,yes,yes
seed0181.png,no,no
seed0182.png,no,no
seed0183.png,yes,yes
seed0184.png,no,no
seed0185.png,no,no
seed0186.png,yes,yes
seed0187.png,no,no
seed0188.png,no,no
seed0189.png,yes,yes
seed0190.png,no,no
seed0191.png,yes,yes
seed0192.png,yes,yes
seed0193.png,yes,yes
seed0194.png,yes,yes
seed0195.png,yes,yes
seed0196.png,yes,yes
seed0197.png,yes,yes
seed0198.png,no,no
seed0199.png,no,no
seed0200.png,yes,yes
seed0201.png,no,no
seed0202.png,yes,yes
seed0203.png,yes,yes
seed0204.png,no,no
seed0205.png,no,no
seed0206.png,yes,yes
seed0207.png,no,no
seed0208.png,yes,yes
seed0209.png,no,no
seed0210.png,no,no
seed0211.png,yes,yes
seed0212.png,yes,yes
seed0213.png,no,no
seed0214.png,yes,yes
seed0215.png,yes,yes
seed0216.png,yes,yes
seed0217.png,yes,yes
seed0218.png,yes,yes
seed0219.png,yes,yes
seed0220.png,no,no
seed0221.png,no,no
seed0222.png,yes,yes
seed0223.png,yes,yes
seed0224.png,no,no
seed0225.png,yes,yes
seed0226.png,no,no
seed0227.png,no,no
seed0228.png,no,no
seed0229.png,yes,yes
seed0230.png,no,no
seed0231.png,no,no
seed0232.png,no,no
seed0233.png,no,no
seed0234.png,yes,yes
seed0235.png,yes,yes
seed0236.png,yes,yes
seed0237.png,yes,yes
seed0238.png,no,no
seed0239.png,yes,yes
seed0240.png,no,no
seed0241.png,yes,yes
seed0242.png,no,no
seed0243.png,no,no
seed0244.png,no,no
seed0245.png,yes,yes
seed0246.png,yes,yes
seed0247.png,no,no
seed0248.png,yes,yes
seed0249.png,no,no
seed0250.png,yes,yes
seed0251.png,no,no
seed0252.png,yes,yes
seed0253.png,yes,yes
seed0254.png,no,no
seed0255.png,no,no
seed0256.png,no,no
seed0257.png,no,no
seed0258.png,yes,yes
seed0259.png,yes,yes
seed0260.png,yes,yes
seed0261.png,no,no
seed0262.png,yes,yes
seed0263.png,no,no
seed0264.png,yes,yes
seed0265.png,yes,yes
seed0266.png,no,no
seed0267.png,yes,yes
seed0268.png,no,no
seed0269.png,no,no
seed0270.png,no,no
seed0271.png,yes,yes
seed0272.png,yes,yes
seed0273.png,no,no
seed0274.png,yes,yes
seed0275.png,yes,yes
seed0276.png,yes,yes
seed0277.png,no,no
seed0278.png,yes,yes
seed0279.png,yes,yes
seed0280.png,yes,yes
seed0281.png,yes,yes
seed0282.png,yes,yes
seed0283.png,no,no
seed0284.png,yes,yes
seed0285.png,yes,yes
seed0286.png,no,no
seed0287.png,yes,yes
seed0288.png,yes,yes
seed0289.png,yes,yes
seed0290.png,yes,yes
seed0291.png,no,no
seed0292.png,no,no
seed0293.png,yes,yes
seed0294.png,no,no
seed0295.png,yes,yes
seed0296.png,yes,yes
seed0297.png,yes,yes
seed0298.png,yes,yes
seed0299.png,yes,yes
seed0300.png,no,no
seed0301.png,no,no
seed0302.png,yes,yes
seed0303.png,yes,yes
seed0304.png,yes,yes
seed0305.png,no,no
seed0306.png,yes,yes
seed0307.png,no,no
seed0308.png,no,no
seed0309.png,no,no
seed0310.png,no,no
seed0311.png,yes,yes
seed0312.png,yes,yes
seed0313.png,yes,yes
seed0314.png,no,no
seed0315.png,yes,yes
seed0316.png,no,no
seed0317.png,yes,yes
seed0318.png,no,no
seed0319.png,no,no
seed0320.png,yes,yes
seed0321.png,no,no
seed0322.png,yes,yes
seed0323.png,no,no
seed0324.png,no,no
seed0325.png,yes,yes
